LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Diger,Remote,yurt_ici,TRY,5499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_disi,USD,46565
Middle,MOBILE APPLICATION DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,15499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,7499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,8499
Middle,QA / TEST AUTOMATION DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,20499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,9499
Senior,DATA SCIENTIST,Kadın,E-Ticaret,Geçici Remote,yurt_ici,TRY,13499
Senior,BACK-END DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,16499
Senior,TEAM / TECH LEAD,Erkek,Startup,Ofis,yurt_ici,TRY,55000
Senior,FULL STACK DEVELOPER,Erkek,Dijital / Reklam Ajansı,Geçici Remote,yurt_ici,TRY,17499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,13499
Middle,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,18499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_disi,TRY,17499
Junior,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,9499
Senior,QA / TEST AUTOMATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,19499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,5499
Junior,DATA SCIENTIST,Erkek,Startup,Ofis,yurt_ici,TRY,7499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,6499
Junior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,5499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,5499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,13499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,10499
Junior,BACK-END DEVELOPER,Kadın,Kurumsal,Geçici Hibrit,yurt_ici,TRY,7499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Geçici Hibrit,yurt_ici,USD,195605
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,19499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,USD,65195
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,8499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,25499
Senior,TEAM / TECH LEAD,Erkek,E-Ticaret,Geçici Hibrit,yurt_ici,TRY,21499
Senior,BACK-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,22499
Senior,CTO,Erkek,Outsource,Hibrit,yurt_ici,TRY,21499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,9499
Middle,FRONT-END DEVELOPER,Kadın,E-Ticaret,Geçici Hibrit,yurt_ici,TRY,8499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,9499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,7499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,25499
Middle,BACK-END DEVELOPER,Kadın,Kurumsal,Geçici Hibrit,yurt_ici,TRY,14499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,9499
